date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
01-01-2024 00:00,22.9,19,27,0,,29,11.7,,1015.7,
02-01-2024 00:00,22.8,19,27.6,0,,39,8.2,,1015.3,
03-01-2024 00:00,22.4,18,28,0,,39,8.7,,1015,
04-01-2024 00:00,22.7,18.2,28,0,,39,8.1,,1015,
05-01-2024 00:00,23.1,18.6,28.4,0,,48,10.5,,1015.2,
06-01-2024 00:00,23.3,19.5,29,0,,51,15.5,,1015.5,
07-01-2024 00:00,22.9,18.9,28.5,0,,43,19.9,,1016.1,
08-01-2024 00:00,24.4,19.5,28.4,0,,56,13.6,,1016.5,
09-01-2024 00:00,24.7,22,28,0,,51,10.1,,1016.5,
10-01-2024 00:00,23.7,19,29,0,,48,8.3,,1015,
11-01-2024 00:00,24.4,21,30,0,,49,6.5,,1015.5,
12-01-2024 00:00,23.8,19,29,0,,45,7.7,,1015.2,
13-01-2024 00:00,24.6,21.2,29,0,,26,7.4,,1014.9,
14-01-2024 00:00,24.3,22,28,0.2,,331,7.2,,1014.3,
15-01-2024 00:00,24.8,22,28,0.8,,238,7.7,,1013.8,
16-01-2024 00:00,24.6,21.1,29,0.3,,242,9,,1012.9,
17-01-2024 00:00,24.1,21,28,0.4,,243,7.1,,1013.1,
18-01-2024 00:00,23.2,19,29,0,,258,7.3,,1013.6,
19-01-2024 00:00,23,18,28,0,,53,7.7,,1014.2,
20-01-2024 00:00,23.6,19.8,28.2,0.1,,42,8.3,,1015.3,
21-01-2024 00:00,24.2,19.8,29,0,,270,8,,1014.7,
22-01-2024 00:00,24.4,21,28,2,,58,10.9,,1015.9,
23-01-2024 00:00,24.7,22,27.8,0.5,,73,8.7,,1015.3,
24-01-2024 00:00,24.9,21,30,0,,258,8.7,,1014.2,
25-01-2024 00:00,24.1,20.8,26,6.3,,84,12.7,,1016.3,
26-01-2024 00:00,24.3,22,28,0.4,,74,11.3,,1018.4,
27-01-2024 00:00,24.1,20,28,0,,52,8.4,,1018.2,
28-01-2024 00:00,23.4,19.8,28,0,,53,7.5,,1017.9,
29-01-2024 00:00,22.3,17.8,28,0,,39,8.4,,1017.3,
